model_id,temperature_C,MAE_pct_mean,MAE_pct_std,RMSE_pct_mean,MaxAE_pct_mean,seed_count
cema_tcn_proposed_g4,0.0,0.4528193025294412,0.0096402846370704,0.5863114427987628,1.9044553333333336,3
cema_tcn_proposed_g4,25.0,0.4564251911334315,0.0446709048606597,0.6764987145552253,3.6102832,3
cema_tcn_proposed_g4,45.0,0.3474362064662871,0.026544388322581,0.4703257694452921,1.5419791,3
cema_tcn_proposed_g4,ALL_tempmean,0.41889356670972,0.0156804578691487,0.5777119755997601,2.3522392111111112,3
endpoint_mlp,0.0,0.7036021183785462,0.03144899576323503,0.9449423324762237,3.9987446666666666,3
endpoint_mlp,25.0,1.3045021822874219,0.06988668102877754,1.7224499905747044,6.835020666666668,3
endpoint_mlp,45.0,0.560922195312545,0.03743554324831726,0.8248924360268735,3.997084666666668,3
gru_h128_l1,0.0,0.6534686590840063,0.09452137349203905,0.8634657769396443,3.645809666666666,3
gru_h128_l1,25.0,0.9233813898427359,0.029084496650293206,1.1216405170597088,3.2680350000000007,3
gru_h128_l1,45.0,0.5511901056606491,0.21141172240850817,0.7217273031902947,3.2165329999999988,3
gru_h128_l6,0.0,0.6908806627044938,0.042754131963238226,0.9143970589511219,2.8248806666666666,3
gru_h128_l6,25.0,1.027568531310936,0.049171533346271515,1.2543144699479916,3.5780923333333323,3
gru_h128_l6,45.0,0.4846431733264231,0.02001294664238263,0.6209191698761822,2.1379006666666664,3
lstm_h128_l1,0.0,0.525272591823704,0.025245237472698155,0.6879761512598831,2.705369000000001,3
lstm_h128_l1,25.0,0.6814053496121223,0.11644195877245012,0.8929145437360834,3.6249226666666687,3
lstm_h128_l1,45.0,0.3129720988540497,0.07253572209971065,0.4602718032305931,2.6462939999999997,3
lstm_h128_l6,0.0,0.720533838234279,0.09353193773305155,0.8993881381054561,2.8267186666666677,3
lstm_h128_l6,25.0,0.7198051307977904,0.18524346578866588,0.9206205776976223,3.189487666666666,3
lstm_h128_l6,45.0,0.453978101957905,0.15244253557965176,0.6000721603999081,2.3034806666666663,3
transformer_d128_h8_l2_gelu,0.0,0.6339286234624145,0.028027266620017303,0.8517232158523327,3.6763219999999985,3
transformer_d128_h8_l2_gelu,25.0,0.8512891010383652,0.04048049237376833,1.0433294452701312,3.577639,3
transformer_d128_h8_l2_gelu,45.0,0.5554797376436037,0.0386757599835514,0.7264149660232707,2.912050333333333,3
transformer_d128_h8_l6_gelu,0.0,0.6903851155070063,0.09425631875878879,0.9147056215401982,3.315427,3
transformer_d128_h8_l6_gelu,25.0,0.9154889988499502,0.052129712048764903,1.1245753184219853,3.5381413333333356,3
transformer_d128_h8_l6_gelu,45.0,0.5186573500071981,0.03762998163141603,0.6874887711422342,2.9102233333333323,3
vanilla_tcn_h128_l6_moe,0.0,0.8608819837923654,0.0883353164153188,1.1187685722758467,3.775261666666664,3
vanilla_tcn_h128_l6_moe,25.0,0.7657631914244317,0.03258743465764747,0.9452959661266097,2.9354566666666657,3
vanilla_tcn_h128_l6_moe,45.0,0.4894396372405056,0.06101649798774168,0.6417814846892641,2.5052006666666653,3
endpoint_mlp,temp_mean,0.8563421653261711,0.026443521623870505,1.1640949196926005,6.835020666666668,3
gru_h128_l1,temp_mean,0.7093467181957971,0.11009487148057066,0.9022778657298827,3.645809666666666,3
gru_h128_l6,temp_mean,0.7343641224472842,0.02189511659792709,0.9298768995917652,3.5780923333333323,3
lstm_h128_l1,temp_mean,0.5065500134299586,0.06890257944013727,0.6803874994088531,3.675941000000003,3
lstm_h128_l6,temp_mean,0.6314390236633248,0.14160839708089865,0.8066936254009955,3.189487666666666,3
transformer_d128_h8_l2_gelu,temp_mean,0.6802324873814611,0.010980820387940779,0.8738225423819115,4.066547333333332,3
transformer_d128_h8_l6_gelu,temp_mean,0.7081771547880517,0.05312200197388038,0.9089232370348058,3.682011333333335,3
vanilla_tcn_h128_l6_moe,temp_mean,0.7053616041524342,0.007140189167881451,0.9019486743639069,3.775261666666664,3
