feature_set,config_key,ablation_group,input_dim,channel_index,channel,role,ema_scale_samples,is_ema_channel,is_deviation_from_ema,uses_voltage_measurement,uses_current_excitation,uses_temperature
G0,G0_raw,G0,3,0,V_corr_raw,voltage,,False,False,True,False,False
G0,G0_raw,G0,3,1,I_raw,current_excitation,,False,False,False,True,False
G0,G0_raw,G0,3,2,T,temperature,,False,False,False,False,True
G1,G1_derivatives,G1,8,0,V_corr_raw,voltage,,False,False,True,False,False
G1,G1_derivatives,G1,8,1,I_raw,current_excitation,,False,False,False,True,False
G1,G1_derivatives,G1,8,2,T,temperature,,False,False,False,False,True
G1,G1_derivatives,G1,8,3,dI,current_excitation,,False,False,False,True,False
G1,G1_derivatives,G1,8,4,absI,current_excitation,,False,False,False,True,False
G1,G1_derivatives,G1,8,5,dV_corr,voltage,,False,False,True,False,False
G1,G1_derivatives,G1,8,6,abs_dV_corr,voltage,,False,False,True,False,False
G1,G1_derivatives,G1,8,7,d2V_corr,interaction_or_other,,False,False,False,False,False
G4,G4_all_ema,G4,17,0,V_corr_raw,voltage,,False,False,True,False,False
G4,G4_all_ema,G4,17,1,I_raw,current_excitation,,False,False,False,True,False
G4,G4_all_ema,G4,17,2,T,temperature,,False,False,False,False,True
G4,G4_all_ema,G4,17,3,V_corr_raw_ema50,voltage,50,True,False,True,False,False
G4,G4_all_ema,G4,17,4,V_corr_raw_dev_ema50,voltage,50,True,True,True,False,False
G4,G4_all_ema,G4,17,5,V_corr_raw_ema200,voltage,200,True,False,True,False,False
G4,G4_all_ema,G4,17,6,V_corr_raw_dev_ema200,voltage,200,True,True,True,False,False
G4,G4_all_ema,G4,17,7,V_corr_raw_ema800,voltage,800,True,False,True,False,False
G4,G4_all_ema,G4,17,8,V_corr_raw_dev_ema800,voltage,800,True,True,True,False,False
G4,G4_all_ema,G4,17,9,I_raw_ema50,current_excitation,50,True,False,False,True,False
G4,G4_all_ema,G4,17,10,I_raw_dev_ema50,current_excitation,50,True,True,False,True,False
G4,G4_all_ema,G4,17,11,I_raw_ema200,current_excitation,200,True,False,False,True,False
G4,G4_all_ema,G4,17,12,I_raw_dev_ema200,current_excitation,200,True,True,False,True,False
G4,G4_all_ema,G4,17,13,absI_ema50,current_excitation,50,True,False,False,True,False
G4,G4_all_ema,G4,17,14,absI_dev_ema50,current_excitation,50,True,True,False,True,False
G4,G4_all_ema,G4,17,15,absI_ema200,current_excitation,200,True,False,False,True,False
G4,G4_all_ema,G4,17,16,absI_dev_ema200,current_excitation,200,True,True,False,True,False
G6,G6_full23,G6,23,0,V_corr_raw,voltage,,False,False,True,False,False
G6,G6_full23,G6,23,1,I_raw,current_excitation,,False,False,False,True,False
G6,G6_full23,G6,23,2,T,temperature,,False,False,False,False,True
G6,G6_full23,G6,23,3,dI,current_excitation,,False,False,False,True,False
G6,G6_full23,G6,23,4,absI,current_excitation,,False,False,False,True,False
G6,G6_full23,G6,23,5,dV_corr,voltage,,False,False,True,False,False
G6,G6_full23,G6,23,6,abs_dV_corr,voltage,,False,False,True,False,False
G6,G6_full23,G6,23,7,d2V_corr,interaction_or_other,,False,False,False,False,False
G6,G6_full23,G6,23,8,Vcorr_x_absI,current_excitation,,False,False,False,True,False
G6,G6_full23,G6,23,9,V_corr_raw_ema50,voltage,50,True,False,True,False,False
G6,G6_full23,G6,23,10,V_corr_raw_dev_ema50,voltage,50,True,True,True,False,False
G6,G6_full23,G6,23,11,V_corr_raw_ema200,voltage,200,True,False,True,False,False
G6,G6_full23,G6,23,12,V_corr_raw_dev_ema200,voltage,200,True,True,True,False,False
G6,G6_full23,G6,23,13,V_corr_raw_ema800,voltage,800,True,False,True,False,False
G6,G6_full23,G6,23,14,V_corr_raw_dev_ema800,voltage,800,True,True,True,False,False
G6,G6_full23,G6,23,15,I_raw_ema50,current_excitation,50,True,False,False,True,False
G6,G6_full23,G6,23,16,I_raw_dev_ema50,current_excitation,50,True,True,False,True,False
G6,G6_full23,G6,23,17,I_raw_ema200,current_excitation,200,True,False,False,True,False
G6,G6_full23,G6,23,18,I_raw_dev_ema200,current_excitation,200,True,True,False,True,False
G6,G6_full23,G6,23,19,absI_ema50,current_excitation,50,True,False,False,True,False
G6,G6_full23,G6,23,20,absI_dev_ema50,current_excitation,50,True,True,False,True,False
G6,G6_full23,G6,23,21,absI_ema200,current_excitation,200,True,False,False,True,False
G6,G6_full23,G6,23,22,absI_dev_ema200,current_excitation,200,True,True,False,True,False
G7,G7_no_current_ema,G7,15,0,V_corr_raw,voltage,,False,False,True,False,False
G7,G7_no_current_ema,G7,15,1,I_raw,current_excitation,,False,False,False,True,False
G7,G7_no_current_ema,G7,15,2,T,temperature,,False,False,False,False,True
G7,G7_no_current_ema,G7,15,3,dI,current_excitation,,False,False,False,True,False
G7,G7_no_current_ema,G7,15,4,absI,current_excitation,,False,False,False,True,False
G7,G7_no_current_ema,G7,15,5,dV_corr,voltage,,False,False,True,False,False
G7,G7_no_current_ema,G7,15,6,abs_dV_corr,voltage,,False,False,True,False,False
G7,G7_no_current_ema,G7,15,7,d2V_corr,interaction_or_other,,False,False,False,False,False
G7,G7_no_current_ema,G7,15,8,Vcorr_x_absI,current_excitation,,False,False,False,True,False
G7,G7_no_current_ema,G7,15,9,V_corr_raw_ema50,voltage,50,True,False,True,False,False
G7,G7_no_current_ema,G7,15,10,V_corr_raw_dev_ema50,voltage,50,True,True,True,False,False
G7,G7_no_current_ema,G7,15,11,V_corr_raw_ema200,voltage,200,True,False,True,False,False
G7,G7_no_current_ema,G7,15,12,V_corr_raw_dev_ema200,voltage,200,True,True,True,False,False
G7,G7_no_current_ema,G7,15,13,V_corr_raw_ema800,voltage,800,True,False,True,False,False
G7,G7_no_current_ema,G7,15,14,V_corr_raw_dev_ema800,voltage,800,True,True,True,False,False
G8,G8_no_voltage_ema,G8,17,0,V_corr_raw,voltage,,False,False,True,False,False
G8,G8_no_voltage_ema,G8,17,1,I_raw,current_excitation,,False,False,False,True,False
G8,G8_no_voltage_ema,G8,17,2,T,temperature,,False,False,False,False,True
G8,G8_no_voltage_ema,G8,17,3,dI,current_excitation,,False,False,False,True,False
G8,G8_no_voltage_ema,G8,17,4,absI,current_excitation,,False,False,False,True,False
G8,G8_no_voltage_ema,G8,17,5,dV_corr,voltage,,False,False,True,False,False
G8,G8_no_voltage_ema,G8,17,6,abs_dV_corr,voltage,,False,False,True,False,False
G8,G8_no_voltage_ema,G8,17,7,d2V_corr,interaction_or_other,,False,False,False,False,False
G8,G8_no_voltage_ema,G8,17,8,Vcorr_x_absI,current_excitation,,False,False,False,True,False
G8,G8_no_voltage_ema,G8,17,9,I_raw_ema50,current_excitation,50,True,False,False,True,False
G8,G8_no_voltage_ema,G8,17,10,I_raw_dev_ema50,current_excitation,50,True,True,False,True,False
G8,G8_no_voltage_ema,G8,17,11,I_raw_ema200,current_excitation,200,True,False,False,True,False
G8,G8_no_voltage_ema,G8,17,12,I_raw_dev_ema200,current_excitation,200,True,True,False,True,False
G8,G8_no_voltage_ema,G8,17,13,absI_ema50,current_excitation,50,True,False,False,True,False
G8,G8_no_voltage_ema,G8,17,14,absI_dev_ema50,current_excitation,50,True,True,False,True,False
G8,G8_no_voltage_ema,G8,17,15,absI_ema200,current_excitation,200,True,False,False,True,False
G8,G8_no_voltage_ema,G8,17,16,absI_dev_ema200,current_excitation,200,True,True,False,True,False
