baseline,temperature_C,n_windows,MAE_pct,RMSE_pct,run_status,model,feature_columns
FORBIDDEN_raw_plus_cumulative_Ah,0.0,9658,1.3542415277473514,1.5323021293177146,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_cumulative_Ah"
FORBIDDEN_raw_plus_cumulative_Ah,25.0,11043,1.8242417682683278,2.1163603943894476,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_cumulative_Ah"
FORBIDDEN_raw_plus_cumulative_Ah,45.0,11577,0.25724217478946754,0.3640874753188547,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_cumulative_Ah"
FORBIDDEN_raw_plus_cumulative_Ah,ALL,32278,1.121583096211312,1.5107739716426956,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_cumulative_Ah"
FORBIDDEN_raw_plus_SOC_CC,0.0,9658,2.1228310437416666e-06,2.5127421754995926e-06,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_SOC_CC"
FORBIDDEN_raw_plus_SOC_CC,25.0,11043,2.0864219091359494e-06,2.482671252774229e-06,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_SOC_CC"
FORBIDDEN_raw_plus_SOC_CC,45.0,11577,2.6322040485876548e-06,3.617058100202356e-06,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_SOC_CC"
FORBIDDEN_raw_plus_SOC_CC,ALL,32278,2.2930691379126516e-06,2.947943563906464e-06,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_SOC_CC"
FORBIDDEN_raw_plus_trajectory_progress,0.0,9658,2.1667028907634323,2.487281264979,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_trajectory_progress"
FORBIDDEN_raw_plus_trajectory_progress,25.0,11043,1.8618741912023422,2.1438203494073536,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_trajectory_progress"
FORBIDDEN_raw_plus_trajectory_progress,45.0,11577,1.1114516495416167,1.2335667108013704,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_trajectory_progress"
FORBIDDEN_raw_plus_trajectory_progress,ALL,32278,1.6839323675315692,1.992299539810793,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,forbidden_trajectory_progress"
FORBIDDEN_G4_plus_cumulative_Ah,0.0,9658,1.0825630048098247,1.4443621517831482,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,V_corr_raw_ema50,V_corr_raw_dev_ema50,V_corr_raw_ema200,V_corr_raw_dev_ema200,V_corr_raw_ema800,V_corr_raw_dev_ema800,I_raw_ema50,I_raw_dev_ema50,I_raw_ema200,I_raw_dev_ema200,absI_ema50,absI_dev_ema50,absI_ema200,absI_dev_ema200,forbidden_cumulative_Ah"
FORBIDDEN_G4_plus_cumulative_Ah,25.0,11043,1.6437129039035967,1.8062579180426637,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,V_corr_raw_ema50,V_corr_raw_dev_ema50,V_corr_raw_ema200,V_corr_raw_dev_ema200,V_corr_raw_ema800,V_corr_raw_dev_ema800,I_raw_ema50,I_raw_dev_ema50,I_raw_ema200,I_raw_dev_ema200,absI_ema50,absI_dev_ema50,absI_ema200,absI_dev_ema200,forbidden_cumulative_Ah"
FORBIDDEN_G4_plus_cumulative_Ah,45.0,11577,0.5720206214737964,0.6991672029790185,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,V_corr_raw_ema50,V_corr_raw_dev_ema50,V_corr_raw_ema200,V_corr_raw_dev_ema200,V_corr_raw_ema800,V_corr_raw_dev_ema800,I_raw_ema50,I_raw_dev_ema50,I_raw_ema200,I_raw_dev_ema200,absI_ema50,absI_dev_ema50,absI_ema200,absI_dev_ema200,forbidden_cumulative_Ah"
FORBIDDEN_G4_plus_cumulative_Ah,ALL,32278,1.0914306286964137,1.3841010892189423,FORBIDDEN_REFERENCE_ONLY,fixed ridge endpoint diagnostic,"V_corr_raw,I_raw,T,V_corr_raw_ema50,V_corr_raw_dev_ema50,V_corr_raw_ema200,V_corr_raw_dev_ema200,V_corr_raw_ema800,V_corr_raw_dev_ema800,I_raw_ema50,I_raw_dev_ema50,I_raw_ema200,I_raw_dev_ema200,absI_ema50,absI_dev_ema50,absI_ema200,absI_dev_ema200,forbidden_cumulative_Ah"
